ID_well	ID_block	ID_sample	sample_time	Biochar	Material	Treatment	C	N	P	K	pH	CE	Height	Yield
1	1A	1A_t0	Initial	Blended	SCG	SCG-BC	46.7421	1.8078	0.919	5.86	6.88	0.694		
2	1B	1B_t0	Initial	Blended	SCG	SCG-BC	49.1757	1.7382	0.943	4.787	6.92	0.51		
3	1C	1C_t0	Initial	Blended	SCG	SCG-BC	46.9508	1.7983	0.938	4.99	6.89	0.571		
4	1D	1D_t0	Initial	Blended	SCG	SCG-BC	48.7124	1.7701	0.924	5.563	6.87	0.608		
5	1E	1E_t0	Initial	Blended	SCG	SCG-BC	45.9639	1.641	0.757	4.731	6.9	0.468		
6	2A	2A_t0	Initial	Pot	SCG	SCG	41.1217	1.9768	0.797	3.618	6.35	0.41		
7	2B	2B_t0	Initial	Pot	SCG	SCG	40.0215	2.0454	0.877	4.121	6.39	0.476		
8	2C	2C_t0	Initial	Pot	SCG	SCG	39.5068	1.8538	0.803	3.885	6.09	1.066		
9	2D	2D_t0	Initial	Pot	SCG	SCG	42.222	2.3858	1.023	5.812	6.06	1.627		
10	2E	2E_t0	Initial	Pot	SCG	SCG	41.8674	2.0681	0.929	4.476	6.22	0.994		
11	3A	3A_t0	Initial	Pot	CS	CS	44.2257	2.3064	1.123	6.925	6.94	1.643		
12	3B	3B_t0	Initial	Pot	CS	CS	39.4373	1.9861	1.137	8.312	6.97	2.054		
13	3C	3C_t0	Initial	Pot	CS	CS	43.2961	2.1354	1.125	6.87	5.7	2.483		
14	3D	3D_t0	Initial	Pot	CS	CS	40.1752	2.115	1.075	7.859	6.72	1.763		
15	3E	3E_t0	Initial	Pot	CS	CS	39.8873	1.8941	0.968	9.081	7.05	1.7		
16	4A	4A_t0	Initial	Blended	CS	CS-BC	51.3506	1.4925	0.87	5.678	6.82	0.953		
17	4B	4B_t0	Initial	Blended	CS	CS-BC	57.545	1.4271	0.873	6.275	6.89	1.06		
18	4C	4C_t0	Initial	Blended	CS	CS-BC	46.0998	1.3688	0.936	7.402	6.87	1.137		
19	4D	4D_t0	Initial	Blended	CS	CS-BC	46.3388	1.4083	1.017	7.142	6.88	1.261		
20	4E	4E_t0	Initial	Blended	CS	CS-BC	50.8271	1.3383	0.885	6.675	6.85	0.996		
21	5A	5A_t0	Initial	Blended	SW	SW-BC	33.304	1.0597	0.946	4.027	7.07	0.899		
22	5B	5B_t0	Initial	Blended	SW	SW-BC	34.6215	1.0217	1.057	4.358	7.1	1.223		
23	5C	5C_t0	Initial	Blended	SW	SW-BC	35.8694	1.1008	1.033	4.023	7.08	0.817		
24	5D	5D_t0	Initial	Blended	SW	SW-BC	39.7943	1.0491	0.921	4.397	7.12	0.984		
25	5E	5E_t0	Initial	Blended	SW	SW-BC	41.6019	1.1545	0.942	4.578	7.16	0.868		
26	6A	6A_t0	Initial	Pot	SW	SW	26.2649	1.3699	1.049	3.024	7.08	1.468		
27	6B	6B_t0	Initial	Pot	SW	SW	23.6882	1.3105	1.063	3.667	7.01	1.283		
28	6C	6C_t0	Initial	Pot	SW	SW	29.2599	1.5299	1.101	3.396	6.91	1.705		
29	6D	6D_t0	Initial	Pot	SW	SW	28.4023	1.5218	1.089	3.702	7.17	1.342		
30	6E	6E_t0	Initial	Pot	SW	SW	28.2409	1.4511	1.073	3.947	7.11	1.419		
31	7A	7A_t0	Initial	Pot	Peat	Peat	36.3155	1.1978	0.447	3.89	5.77	0.652		
32	7B	7B_t0	Initial	Pot	Peat	Peat	35.492	1.1512	0.436	3.544	6.15	0.161		
33	7C	7C_t0	Initial	Pot	Peat	Peat	35.4062	1.1857	0.569	4.142	5.89	1.095		
34	7D	7D_t0	Initial	Pot	Peat	Peat	37.2771	1.1146	0.473	3.818	5.96	0.417		
35	7E	7E_t0	Initial	Pot	Peat	Peat	34.8392	1.2188	0.506	3.568	5.97	0.554		
49	1A	1A_t6	Final	Blended	SCG	SCG-BC	37.5259	1.1893	0.5	7.88	6.93	0.066	65	4.433
50	1B	1B_t6	Final	Blended	SCG	SCG-BC	45.1691	1.3364	0.71	5.92	7.08	0.101	54	2.243
51	1C	1C_t6	Final	Blended	SCG	SCG-BC	38.1761	1.118	0.59	3.85	6.85	0.097	74	1.941
52	1D	1D_t6	Final	Blended	SCG	SCG-BC	48.5493	1.3593	0.65	4.74	6.99	0.114	75	4.145
53	1E	1E_t6	Final	Blended	SCG	SCG-BC	39.9347	1.098	0.46	7.2	6.58	0.069	69	3.003
54	2A	2A_t6	Final	Pot	SCG	SCG	38.543	0.9569	0.38	7.99	6.36	0.094	83	2.401
55	2B	2B_t6	Final	Pot	SCG	SCG	40.6442	1.5429	0.58	7.04	6.62	0.083	74	2.498
56	2C	2C_t6	Final	Pot	SCG	SCG	39.0472	1.0438	0.44	3.84	6.68	0.057	61	1.869
57	2D	2D_t6	Final	Pot	SCG	SCG	39.7098	1.4468	0.45	6.72	6.86	0.125	53	2.287
58	2E	2E_t6	Final	Pot	SCG	SCG	41.7612	1.7059	0.61	6.47	6.73	0.109	93	0.8
59	3A	3A_t6	Final	Pot	CS	CS	45.3243	1.9688	0.78	5.36	7.38	0.345	84	2.168
60	3B	3B_t6	Final	Pot	CS	CS	42.2006	1.7164	0.76	7.71	7.03	0.238	73	3.015
61	3C	3C_t6	Final	Pot	CS	CS	44.1266	1.9949	0.79	4.39	7.05	0.096	72	5.389
62	3D	3D_t6	Final	Pot	CS	CS	41.4303	1.6895	0.74	8.42	7.23	0.233	139	2.813
63	3E	3E_t6	Final	Pot	CS	CS								
64	4A	4A_t6	Final	Blended	CS	CS-BC	49.0249	1.0816	0.64	5.01	7.34	0.117	76	5.532
65	4B	4B_t6	Final	Blended	CS	CS-BC	51.437	1.0895	0.6	5.37	7.29	0.105	69	5.908
66	4C	4C_t6	Final	Blended	CS	CS-BC	51.5093	0.9365	0.63	2.07	7.49	0.106	78	5.675
67	4D	4D_t6	Final	Blended	CS	CS-BC	48.6537	0.9987	0.7	2.65	7.48	0.112	73	4.936
68	4E	4E_t6	Final	Blended	CS	CS-BC	50.9064	0.9084	0.61	3.95	7.55	0.125	69	3.648
69	5A	5A_t6	Final	Blended	SW	SW-BC	40.2261	0.6315	0.66	1.84	8.04	0.152	75	5.181
70	5B	5B_t6	Final	Blended	SW	SW-BC	44.3644	0.8618	0.71	4.08	7.94	0.246	146	4.155
71	5C	5C_t6	Final	Blended	SW	SW-BC	42.9969	0.8293	0.67	4.49	7.78	0.347	83	4.645
72	5D	5D_t6	Final	Blended	SW	SW-BC	41.3417	0.7448	0.54	1.31	7.79	0.183	96	5.555
73	5E	5E_t6	Final	Blended	SW	SW-BC	38.2446	0.6929	0.57	1.81	7.82	0.25	76	4.312
74	6A	6A_t6	Final	Pot	SW	SW	31.5935	0.9477	0.7	2.38	7.7	0.52	184	2.319
75	6B	6B_t6	Final	Pot	SW	SW	29.0173	0.9717	0.55	1.83	7.57	0.413	67	3.871
76	6C	6C_t6	Final	Pot	SW	SW	25.027	0.804	0.69	4.01	7.84	0.353	76	3.292
77	6D	6D_t6	Final	Pot	SW	SW	26.7545	0.8603	0.69	2.97	7.94	0.434	103	4.537
78	6E	6E_t6	Final	Pot	SW	SW	26.9447	0.7643	0.71	2.24	7.98	0.406	133	2.747
79	7A	7A_t6	Final	Pot	Peat	Peat	33.9387	0.6911	0.32	7.28	6.71	0.105	71	3.544
80	7B	7B_t6	Final	Pot	Peat	Peat	35.7234	0.715	0.34	2.59	6.7	0.061	71	2.205
81	7C	7C_t6	Final	Pot	Peat	Peat	36.5482	0.6606	0.34	7.4	6.64	0.088	83	1.968
82	7D	7D_t6	Final	Pot	Peat	Peat	36.7268	0.7035	0.35	1.85	6.58	0.065	81	2.317
83	7E	7E_t6	Final	Pot	Peat	Peat	36.2356	0.6827	0.39	1.99	6.71	0.049	75	2.711
